description,date,Ruggerio,Lynch Prata,Mr. President,Goldin,Satchell,Nesselbush,Picard,Calkin,Archambault,Cote,Kettle,Cool Rumsey,Raptakis,Seveney,Crowley,Algiere,Jabour,Da Ponte,Pagliarini,Gallo,Madam President,Coyne,Morgan,Metts,Sosnowski,Gee,Lynch,O'Neill,Doyle,Goodwin,Ciccone,Paiva Weed,Conley,Hodgson,Lombardo,Felag,Walaska,Pearson,Paolino,Pichardo,Sheehan,Fogarty,Miller,DiPalma,McCaffrey,Quezada,Bates,Ottiano,Lombardi
CALENDARITEM 3         2014-S 2399 SUB ADaPonte          FINANCETOWNS & CITIES - INDEBTEDNESSOF TOWNS AND CITIESAPPROVAL of AMENDMENTLC 004651/2,TUESDAY/ MARCH 18/ 20144:40:58 PM,NV,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,N,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,N,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 3         2014-S 2399 SUB ADaPonte          FINANCETOWNS & CITIES - INDEBTEDNESSOF TOWNS AND CITIESPASSAGE as AMENDED,TUESDAY/ MARCH 18/ 20144:45:19 PM,NV,N/A,N/A,NV,Y,Y,N,N/A,Y,N,N,Y,N,N/A,Y,N,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,N,Y,Y,Y,N/A,Y,N,Y,N,Y,N,N/A,Y,N,NV,Y,Y,Y,N/A,N,N,Y
CALENDARITEM 6              2014-S 2629DiPalma          JUDICIARYACT RELATING TO HEALTH andSAFETY - SCHOOLSPASSAGE,TUESDAY/ MARCH 18/ 20144:46:06 PM,NV,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 7              2014-S 2667Gallo            JUDICIARYSTATE AFFAIRS & GOVERNMENT -PUBLIC SAFETY GRANTS ADMIN.PASSAGE,TUESDAY/ MARCH 18/ 20144:46:47 PM,NV,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 8            2014-H 7345 aaMelo             FINANCETOWNS & CITIES - INDEBTEDNESSOF TOWNS & CITIESPASSAGEIN CONCURRENCE,TUESDAY/ MARCH 18/ 20144:47:25 PM,NV,N/A,N/A,NV,Y,Y,N,N/A,Y,N,N,Y,N,N/A,Y,N,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,N,Y,Y,Y,N/A,Y,N,Y,N,Y,N,N/A,Y,N,NV,Y,Y,Y,N/A,N,N,Y
DETERMINATION of QUORUM,WEDNESDAY/ MARCH 19/ 20144:16:29 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,THURSDAY/ MARCH 20/ 20144:46:52 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2432Satchell         EDUCATIONJt.Res.:CREATE SPECIAL LEG.COMM.- FUNDING EDUCATION - INCOME TAXAPPROVAL of AMENDMENTLC 003947/2,THURSDAY/ MARCH 20/ 20144:48:44 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2432Satchell         EDUCATIONJt.Res.:CREATE SPECIAL LEG.COMM.- FUNDING EDUCATION - INCOME TAXPASSAGE as AMENDED,THURSDAY/ MARCH 20/ 20144:49:07 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,N,Y,Y,NV,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2         2014-S 2697 SUB ADiPalma          FINANCERELATING TO HIGHWAYS - RHODEISLAND TURNPIKE BRIDGE AUTHORITYPASSAGE,THURSDAY/ MARCH 20/ 20144:49:53 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 4              2014-S 2290Miller           LABORAN ACT RELATING TO LABOR- APPRENTICESHIPAPPROVAL of AMENDMENTLC 004036/6,THURSDAY/ MARCH 20/ 20144:53:12 PM,Y,N/A,N/A,Y,Y,N,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 4              2014-S 2290Miller           LABORAN ACT RELATING TO LABOR- APPRENTICESHIPPASSAGE as AMENDED,THURSDAY/ MARCH 20/ 20145:06:32 PM,Y,N/A,N/A,Y,Y,N,Y,N/A,Y,N,N,Y,N,N/A,Y,N,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,N,Y,Y,NV,N/A,Y,N,NV,Y,Y,Y,N/A,Y,N,Y,Y,Y,Y,N/A,N,N,Y
CALENDARITEM 5         2014-H 7059 SUB AUcci             ORDEREDSTATE AFFAIRS and GOVERNMENT -RI ECONOMIC DEVELOPMENT CORP.PASSAGEIN CONCURRENCE,THURSDAY/ MARCH 20/ 20145:07:29 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,TUESDAY/ MARCH 25/ 20144:50:05 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,NV,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,NV,NV,Y,Y,Y,N/A,Y,NV,Y,NV,Y,Y,N/A,Y,Y,NV
NEW BUSINESSRep. SERPA     2014-H 7633 SUB AAn Act Relating to Labor andLabor Relations - MunicipalEmployees ArbitrationIMMEDIATE CONSIDERATIONPASSAGE in CONCURRENCE,THURSDAY/ MARCH 27/ 20144:33:53 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2546McCaffrey        JUDICIARYCOURTS AND CIVIL PROCEDURE -COURTS - COURT ADMINISTRATIONAPPROVAL of AMENDMENTLC 003997/2,THURSDAY/ MARCH 27/ 20144:49:28 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2546McCaffrey        JUDICIARYCOURTS AND CIVIL PROCEDURE -COURTS - COURT ADMINISTRATIONPASSAGE as AMENDED,THURSDAY/ MARCH 27/ 20144:50:00 PM,Y,N/A,N/A,N,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2         2014-S 2101 SUB ABates            JUDICIARYCRIMINAL PROCEDURE-DNA DETECTIONOF SEXUAL AND VIOLENT OFFENDERSPASSAGE,THURSDAY/ MARCH 27/ 20144:52:16 PM,Y,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSRep. EDWARDS      2014-H 7569 aaAn Act Relating to Highways -Rhode Island Turnpikeand Bridge AuthorityIMMEDIATE CONSIDERATIONPASSAGE in CONCURRENCE,TUESDAY/ APRIL 01/ 20144:23:26 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2316Goldin           FINANCERELATING TO TAXATION -COOPERATIVE HOUSING CORPORATIONSPASSAGE,TUESDAY/ APRIL 01/ 20144:37:50 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2              2014-S 2478Sheehan          FINANCETOWN OF NORTH KINGSTOWN - BONDSCONSTRUCTION:SEWERS/SEWERAGE SYSPASSAGE,TUESDAY/ APRIL 01/ 20144:38:47 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 3              2014-S 2487Sheehan          FINANCETOWN OF NORTH KINGSTOWN - BONDSCONSTRUCTION:SEWERS/SEWERAGE SYSPASSAGE,TUESDAY/ APRIL 01/ 20144:39:43 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,WEDNESDAY/ APRIL 02/ 20144:28:36 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,NV,Y,Y,Y,N/A,NV,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,Y,NV,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,THURSDAY/ APRIL 03/ 20144:30:34 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
"CALENDARITEM 1              2014-S 2443Pichardo         COMMERCERELATING TO CORPORATIONS,ASSOCIATIONS, AND PARTNERSHIPSPASSAGE",THURSDAY/ APRIL 03/ 20144:31:23 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2              2014-S 2444Conley           COMMERCEMOTOR AND OTHER VEHICLES -VEHICLE INSURANCEPASSAGE,THURSDAY/ APRIL 03/ 20144:32:18 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 3              2014-S 2446Bates            COMMERCEMOTOR AND OTHER VEHICLES -SELF INSURANCEPASSAGE,THURSDAY/ APRIL 03/ 20144:33:05 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 4         2014-S 2450 SUB AWalaska          COMMERCEPUBLIC UTILITIES AND CARRIERS -EXCAVATION-UNDERGROUND UTILITIESPASSAGE,THURSDAY/ APRIL 03/ 20144:34:20 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 5         2014-S 2221 SUB ASosnowski        HEALTHRELATING TO INSURANCE -GENDER RATINGPASSAGE,THURSDAY/ APRIL 03/ 20144:36:27 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 6              2014-S 2354Goldin           HEALTHSEN.RES.:RESPECTFULLY REQUESTINGTHE RI DEPT. OF HEALTH - WEBSITEPASSAGE,THURSDAY/ APRIL 03/ 20144:37:31 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 8         2014-S 2504 SUB ASheehan          HEALTHSEN.RES.:RESPECTFULLY REQUESTINGTHE RI DEPT. OF DCYF - SYSTEMPASSAGE,THURSDAY/ APRIL 03/ 20144:38:49 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,NV,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,TUESDAY/ APRIL 08/ 20144:32:25 PM,NV,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1         2014-S 2522 SUB ADoyle            HEALTHRELATING TO HEALTH AND SAFETYAPPROVAL of AMENDMENTLC 004534/2,TUESDAY/ APRIL 08/ 20144:38:02 PM,NV,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 1         2014-S 2522 SUB ADoyle            HEALTHRELATING TO HEALTH AND SAFETYPASSAGE as AMENDED,TUESDAY/ APRIL 08/ 20144:38:30 PM,NV,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CALENDARITEM 2              2014-S 2555Goodwin          SPECIAL LEGMOTOR AND OTHER VEHICLES -REGISTRATION OF VEHICLESPASSAGE,TUESDAY/ APRIL 08/ 20144:39:49 PM,NV,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
NEW BUSINESSSen. PICARD          2014-S 2845An Act Relating to PublicProperty and Works -Payment of Debts by ContractorsIMMEDIATE CONSIDERATIONPASSAGE,WEDNESDAY/ APRIL 09/ 20144:38:12 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y
CALENDARITEM 1              2014-S 2596Jabour           JUDICIARYMOTOR AND OTHER VEHICLES -SPEED RESTRICTIONSAPPROVAL of AMENDMENTLC 004251/2,WEDNESDAY/ APRIL 09/ 20144:44:09 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y
CALENDARITEM 1              2014-S 2596Jabour           JUDICIARYMOTOR AND OTHER VEHICLES -SPEED RESTRICTIONSPASSAGE as AMENDED,WEDNESDAY/ APRIL 09/ 20144:44:35 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y
CALENDARITEM 3              2014-S 2648Jabour           JUDICIARYPROBATE PRACTICE and PROCEDURE -ACCOUNTS OF EXECUTORS & ADMINS.PASSAGE,WEDNESDAY/ APRIL 09/ 20144:45:44 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y
"CALENDARITEM 4              2014-S 2649Lombardi         JUDICIARYCRIMINAL PROCEDURE - INDICTMENTSINFORMATIONS, AND COMPLAINTSPASSAGE",WEDNESDAY/ APRIL 09/ 20144:46:41 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y
CALENDARITEM 5              2014-S 2708Jabour           JUDICIARYAN ACT RELATING TOCRIMINAL PROCEDURE - ARRESTPASSAGE,WEDNESDAY/ APRIL 09/ 20144:47:37 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y
CALENDARITEM 6              2014-S 2343Ottiano          FINANCESTATE AFFAIRS & GOV.-DISTRESSEDAREAS ECONOMIC REVITALIZATIONPASSAGE,WEDNESDAY/ APRIL 09/ 20144:48:35 PM,Y,N/A,N/A,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,NV,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y
CONSENT CALENDARADOPTION,THURSDAY/ APRIL 10/ 20144:32:30 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,NV,N/A,Y,Y,N/A,N/A,NV,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y
"NEW BUSINESSSen. PAIVA WEED      2014-S 2901Congratulating Kevin Stacom,Joe Hassett & Tracy Lis - PCFriars Legonds Forever TraditionIMMEDIATE CONSIDERATIONPASSAGE",TUESDAY/ APRIL 15/ 20144:25:04 PM,Y,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,TUESDAY/ APRIL 15/ 20144:35:31 PM,Y,N/A,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y
CONSENT CALENDARADOPTION,WEDNESDAY/ APRIL 16/ 20144:42:37 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 1              2014-S 2639Jabour           JUDICIARYAN ACT RELATING TOCRIMINAL PROCEDUREPASSAGE,WEDNESDAY/ APRIL 16/ 20144:44:32 PM,Y,N/A,N/A,N,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,NV,NV,Y,N/A,Y,Y,Y
CALENDARITEM 2    2014-S 2272 as amendedAlgiere          FINANCERELATING TO PROPERTY - FORM ANDEFFECT OF CONVEYANCESPASSAGE,WEDNESDAY/ APRIL 16/ 20144:45:16 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 3              2014-S 2778Ruggerio         FINANCERELATING TO TOWNS AND CITIES -BUDGET COMMISSIONSAPPROVAL of AMENDMENTLC 005105/4,WEDNESDAY/ APRIL 16/ 20144:46:41 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 3              2014-S 2778Ruggerio         FINANCERELATING TO TOWNS AND CITIES -BUDGET COMMISSIONSAPPROVAL of AMENDMENTLC 005105/3,WEDNESDAY/ APRIL 16/ 20144:52:37 PM,N,N/A,N/A,N,N,N,N,N/A,N,Y,Y,N,Y,N/A,NV,Y,N,N,N/A,N,N,N/A,N/A,N,N,N/A,N,Y,N,N,NV,N/A,N,Y,N,N,NV,N,N/A,N,N,N,N,NV,N,N/A,Y,Y,N
CALENDARITEM 3              2014-S 2778Ruggerio         FINANCERELATING TO TOWNS AND CITIES -BUDGET COMMISSIONSPASSAGE as AMENDED,WEDNESDAY/ APRIL 16/ 20144:57:44 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,N,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 4         2014-S 2231 SUB ASosnowski        JUDICIARYMOTOR AND OTHER VEHICLES -MOTOR VEHICLE OFFENSESPASSAGE,WEDNESDAY/ APRIL 16/ 20145:00:34 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 5              2014-S 2235Fogarty          JUDICIARYAN ACT RELATING TOELECTIONSPASSAGE,WEDNESDAY/ APRIL 16/ 20145:02:24 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,Y,Y,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,Y,Y
CALENDARITEM 6              2014-S 2238Algiere          JUDICIARYPROBATE PRACTICE AND PROCEDURE- PRACTICE IN PROBATE COURTSAPPROVAL of AMENDMENTLC 003446/2,WEDNESDAY/ APRIL 16/ 20145:03:31 PM,Y,N/A,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,N/A,N/A,Y,Y,N/A,Y,Y,Y,Y,NV,N/A,Y,Y,Y,Y,NV,Y,N/A,Y,NV,Y,Y,NV,Y,N/A,Y,Y,Y
